date_published,rating_value_10,rating_value_5,title,body
2019-05-06,10,10,"""recommend Singapore Airlines""","✅ Trip Verified | Singapore Airlines lived up to its incredible reputation. The flight attendants, especially the purser, were fun to interact with throughout the flight. The beef rendang choice I had was delicious and the wine and champagne served was truly in-flight dining at its best. The in-flight entertainment had quite a selection of current movies, so we had plenty of options to keep ourselves entertained. We were staying overnight at the Aerotel and the purser gave us some water and slippers for us to have on our journey. Although the cabin was pretty full, the cabin crew made us feel like we were on our own private jet. I'd highly recommend Singapore Airlines, based on this experience."
2019-05-05,8,8,"""Seats are comfortable""",✅ Trip Verified | Singapore to Perth. Seats are comfortable for economy class. Slight recline. Decent menu - Asian or Western selection. Design of the plane is strange. The entire plane uses a small group of toilets right in the middle of the plane - never heard that many flushes in 5 hours. Good service. Will fly again in a different seat.
2019-05-02,7,7,"""Very good service""",✅ Trip Verified | Amsterdam to Singapore. Very good service and decent food for economy class. Air stewardesses were patient and provided great service even though I had a request nearly every hour for the first half of the 13 hour flight. I paid for an extra legroom seat and was disappointed to find that the charging points were located below the seat next to me. This is the seat that is 2nd from the exit row and next to the window. Better to sit right at the front.
2019-05-01,1,1,"""I would not recommend""","✅ Trip Verified | I cannot believe that this flight was the exact opposite of my last flight on SIA, when I went to the Philippines to see my daughter. Absolutely dreadful. This was a typical 'red eye' flight, and I'm at least 90% sure that SIA had reduced the leg pitch on this aircraft. Granted, I am 194cms tall, and that does not help the situation at all, but still, there were a number of things that were wrong on this flight. There was a gent in front of me who decided that he wanted to recline his seat back into me to the full extent, during taxi - it was ignored by the cabin crew. And it stayed like this for the remainder of the flight to Perth. I was served a meal by cabin crew with my tray table firmly poking into my chest. Not a single word was said to this gentleman in front of me by staff. Thank God we landed in Perth on time, I felt like I had to unravel my body to get off the plane. The passenger in question was only asked to move his seat upright about ten minutes prior to landing at Perth airport. In fairness, prior to writing this, I had written an email of my concerns to the airline. I was met with a 'we don't care' kind of convoluted reply, probably from somebody who knows nothing about aircraft. I will be returning to Cebu to see my daughter at least two more times this year, but I will definitely not be flying SIA. I will revoke my KrisFlyer membership as well. I have flown budget airlines that are better than this. Buyer, beware! I would not recommend."
2019-04-30,8,8,"""Everything was as expected""","✅ Trip Verified | Singapore to Melbourne. Everything was as expected in terms of priority check in, priority baggage and seating, service food, etc. Staff seemed a bit jaded and the flight was 30 minutes late leaving and arriving."
2019-04-25,1,1,"""Seat was very uncomfortable""","✅ Trip Verified | Booked a business class flight from Singapore to Manila on a Boeing 787 expecting a lie-flat seat. Upon boarding, we were informed that there was an aircraft change to a very old A330 plane without lie-flat seats. Seat was very uncomfortable, not worth a business class ticket. Plane was probably a decade old or more. Inflight entertainment is likewise outdated, not even a touchscreen. Lobster thermidor was salty, rice and asparagus were overcooked. Do not book Singapore Airlines business class, not worth it."
2019-04-22,5,5,"""really felt disappointment""","✅ Trip Verified | My son and I flew Business class Singapore to Shanghai in April. The Business lounge in Changi is OK, but nothing to write home about. We ordered ' book the cook' option, one chicken Brest and one Steak dish. Upon boarding we were greeted by a very cheerful crew, the flight manager already knew my name without looking at any list. The seat was incredibly wide,but quite hard in my opinion. My tail bone tells me immediately, as I was injured in a ski accident, and I can't sit in a regular economy seat more than 2 hours. I was a bit disappointed, as Aeroflot Business seat from Moscow to Shanghai was much softer and pampering. After take off I went to the bathroom, and upon my return I found the satay dish awaiting me. I only enjoyed the chicken stick. Then no service for almost 45 min, without one cabin staff in sight .Slowly the magic and excitement were wearing off. Eventually one showed up and asked me if I didn't like it. I said I only liked the chicken and she offered me some more, nice gesture, but I declined. There were maybe 15 passengers in Business class,that I believe can fit 50-60 passengers. Not a tough flight for the crew. Then came a green salad, very average,and then my book the cook meal showed up, which was good. As I like to drink with my main meal, and my glass was almost empty, as it Lasted me through the salad and the Satay, it was time to refresh my glass,but not such offer. I buzzed the cabin crew,and asked for another glass of drink. I kept enjoying my meal awaiting my drink that never showed up. I buzzed the crew again,and this time the flight manager showed up, I asked to have my drink if possible with my meal not with the dessert. The Coke showed up in 5 seconds. Then came the dessert, a dish with Ice cream, no choices, and a Fruit basket, the most basic desert cart I ever saw. At that point I was already regretting the huge amount of money invested in trying to experience the top notch Business class. Then I wanted to rest,but the crew must turn your seat upside down, very weird idea,and even with the thin mattress ,it was far from a pampering bed.IF you feel like sitting down again,you have to call the F/A to flip it over to a seat..Personaly I prefer control of my lying situation, rather than calling the FA. No amenity kit distributed, but I heard that they pass by with a choice of amenities that you may find necessary for your trip - no such basket was offered. My 14 yo son told me after the meal that he still felt hungry. I called his flight attendant who seemed amused by my statement and said she will 'take care of him' - she brought him a small pack of nuts. So much for generosity. At Aeroflot, upon hearing that my son was still hungry (growing boy,) brought him a pasta casserole from Business class. Free WiFi to Business class was a great idea. We arrived in Shanghai wondering was that Singapore Airlines we heard so much about? We really felt disappointment. Nothing really bad, just a very very ordinary trip."
2019-04-20,10,10,"""Crew were very polite""","✅ Trip Verified | Copenhagen to Singapore. Best airline to travel especially for long haul flights. Good entertainment, good hospitality, nice selection of food, drinks and snacks. The Crew were very polite and full of smiles. I will definitely fly with Singapore Airlines again!"
2019-04-16,4,4,"""Shockingly rude staff""","✅ Trip Verified | Shockingly rude staff, I had flown Singapore as a child with the fondest memories. Had paid double our tour group and opted for Singapore over a low cost Asian airlines. Totally regretted it - staff so rude to the children. Food awful. No drinks offered except one with meal. Total waste of thousands of dollars, our group had an outstanding experience with the low cost carrier."
2019-04-16,2,2,"""missing the flight""","✅ Trip Verified | Hanoi to Cape Town via Singapore. I was very dissapointed with the way things were handled on 3 March 2019 before the flight, I was unable to board my flight, I let Singapore Airlines know via email, also tried calling but was unable to get through. I had to wait until Monday for anyone to help me and then got charged for a new flight ($584) due to missing the flight the day prior, even though I had notified the airline 6 hours before flight that I was going to miss it due to my Visa approval not arriving on time. Having paid this amount along with penalties for missing my previous flight has left me in a difficult financial situation so I'm not impressed."
2019-04-10,10,10,"""perfect experience""","✅ Trip Verified | Frankfurt to Singapore. I have flown a couple of times with Singapore Airlines in the last two years and every time it is been a perfect experience due the staff and service offered on the plane. I have not me such dedicated and hard-working attendants on any other airline than in Singapore Airlines, as well as the quality of the food offered on their business class flights. The same great experience, as always, was on my last flight. I was also very happy with the service at check-in that is perfectly smooth and efficient."
2019-04-07,9,9,"""I would recommend""","✅ Trip Verified | Singapore to Hong Kong. Singapore Airlines is usually my family's airline choice because of the great service, seats and special assistance (I travel with a wheelchair with a Yamaha motor and battery). Checking in going to Hong Kong and leaving took a while due to the staff being unfamiliar with the chair. The check in staff going did not not pass information to the gate agent was asked the same questions again. When we landed in Hong Kong, the wheelchair had a bit of damage but was settled by the ground staff. Upon return, we were told to wait somewhere for the wheelchair but it turned out to be at baggage reclaim. Both flights were very good despite the issues on the ground which I wouldn't blame Singapore airlines for. The cabin pressure on the A350 was minimal compared to other aircraft. If you need special assistance traveling I would recommend flying on Singapore airlines."
2019-04-06,5,5,"""aircraft that was so cold""",Not Verified | My wife and I flew Heathrow to Singapore return we have never flown in an aircraft that was so cold even with our coats on and using the blankets provided it was freezing. Also the food provided was amongst the worst had on a aircraft. It’s a shame because the seats were fine and the aircrew fantastic. Also no delays at checkout and Singapore airport must be on of the best around.
2019-04-05,1,1,"""disappointed and annoyed""","✅ Trip Verified | London to Perth via Singapore. Having flown with Singapore before I was sure that they would be helpful and accomodating as we flew with our 5 month old to visit family at Christmas. We checked in the pram and car seat after paying to have them wrapped at the airport and had arranged to have a bassinet seat for the flight. This was all arranged with no problems. However, around an hour into the flight I was very aware that my baby needed to be changed. I went to queue for the toilets and there was 6 people ahead of me in the queue. My baby began to scream, I’m sure to the discomfort of the other passengers. I was very aware of this and decided to try and find another bathroom with a smaller queue. The only one with no queue and a change table was in business class. As I approached, one of the cabin staff asked where I was going. I said “sorry, my baby is screaming I just need to change her” she said “you can’t use these toilets you have to go back” I explained the queue situation but she wouldn’t budge so I had to go and queue with my child screaming and all the other passengers glaring at me. When we arrived at Perth airport we were annoyed to find that out pram was broken. Despite having it wrapped, it had been broken through the wrapping and the footrest was hanging off despite the fact we had only had it for 5 months. I checked the airline policies which stated we were covered up to a certain amount so I emailed them within 48 hours with the relevant forms, photos of damage, boarding passes and purchase receipts. They responded after a few days with a very unprofessional email basically requesting the same information I had already sent. I sent it again. Twice. They sent another badly worded email asking me to drop it off somewhere for assessment. By this point we had been back with our taped up pram for about two weeks. I responded explaining that it’s the only pram we have and we couldn’t drop it off. We had done everything they had asked. I never heard anything back. We were very disappointed and annoyed with the way we were treated both on the flight and the way our complaint was dealt with. I would never fly with Singapore airlines again which is a shame because I had flown with them twice previously (without an infant) and had a very positive experience."
2019-04-05,10,10,"""Seat was comfortable""",✅ Trip Verified | Manila to Dubai via Singapore. This flight was better compared to my DXB-MNL experience. Crew were genuinely friendly. Greeting and talking to you with smile. They offered beverage options several times. Food was ok though. I was still looking forward to their IFE. Great option to save a playlist. Seat was comfortable. Not a fan of their 3-3-3 seat configuration but I was able to select a window seat at the last row of the mid section with only 2 seats. Big plus factor to the overall experience is the Singapore Changi Airport.
2019-04-03,9,9,"""a pleasant experience""","✅ Trip Verified | Singapore to Los Angeles via Tokyo vv on SQ012 and SQ011. Both flights are operated by Boeing 777-300ER. Both trip's check in was quite fast and efficient, the staff was very helpful. The cabin crew was kind and helpful. The entertainment system has good content and responsive touch screen. The food was good. Overall, it was a pleasant experience for me."
2019-04-02,10,10,"""superb service we received""","✅ Trip Verified | I would like to express my gratitude for the superb service we received on our recent flight from Los Angeles to Mumbai via Singapore. We are two seasoned travellers, both very accustomed to long-haul routes. The A350 is a superb bird! It has to be said that the service provided in all four of the legs with Singapore Airlines was exceptional, from beginning to end (both on the ground and airborne); all staff where extremely professional, yet fun, friendly and accommodating to all passenger's needs. This cabin crew in particular who looked after us on the long, SQ37 flight from LAX to SIN on 14/03/2019, provided beyond exceptional service. They were actively and consistently attending passenger's requests, as well as checking that we were happy and well looked after, for what appeared to be the whole duration of the flight, or about 17+ hours. It was so satisfying and reassuring to see the dedication that this particular team had for their duties, as well as a clear love of the job. Great ambassadors for such well regarded airline such as SQ. We just simply couldn't had hoped for a more enjoyable journey. It is now clear to us that Singapore Airlines deserves to be the world's best airline. We are truly looking forward to our next Singapore Airlines journey, which we hope will take place in the near future - this new experience in air travel has opened a new and fascinating window in our holidays."
2019-03-30,5,5,"""my baggage not on the plane""","✅ Trip Verified | Melbourne to Beijing via Singapore. After long journey, when I go to collect my baggage, it was not send on the plane which I travel. Baggage claim division at Beijing Airport inform my baggage will be arrived in next available flight. My destination is another city which I want to get a domestic flight. From there, I have to go to my hotel on yuan 150 taxi. They advised me to collect my baggage from that airport when it arrives. Till, then they offer me yuan 400 (around 90 AUD to cover all damages which include buying temporary clothes. Thanks for letting down me as a long-standing Singapore traveller."
2019-03-27,10,10,"""the crew were attentive""",✅ Trip Verified | Singapore to Manila. Automated check-in is quite efficient. Service as usual is exceptional as the crew were attentive to the needs of the passengers. Great ambiance inside the aircraft and the food was great.
2019-03-25,9,9,"""excellent and attentive service""",✅ Trip Verified | Singapore to Perth. The Singapore Airlines Boeing 787-10 is a first class plane and comes with excellent and attentive service from the cabin crew. Very modern Kris entertainment system. Food acceptable but not fantastic. Suggest they provide headsets rather than the earpiece variety which are hopeless.
2019-03-25,9,9,"""Excellent cabin staff""","✅ Trip Verified | Singapore to Sydney. Very comfortable flight as the aircraft was not full. Excellent cabin staff and amazing inflight entertainment options. Food however was a major disappointment. Ordered the fish with dill sauce and apart from the the mashed potato, it was flavourless. The ""pizza"" snack served before landing was terrible stodgy. Wine options were either a very poor white or an even rougher red. I can't understand how Singapore can get everything else so right and the food so wrong."
2019-03-19,5,5,"""not very well designed""","Not Verified | Singapore to London Heathrow. For my holiday to New Zealand in February / March this year I decided to upgrade my flights for all four legs of the journey to business class. Three parts of my journey were enjoyable, the service and food was good, even though I didn't receive the book the cook meals Id ordered. Sadly on the last leg from Singapore to London flight SQ322 I found myself on the A380-800. I found the business class section to be cramped, with a lack of storage space, not very well designed and for a new plane starting to show signs of wear and tear. The first problem was the width of the seat, it was a lot narrower than other seats in business class. I heard a lady behind me complaining to a stewardess about the hard seat. She replied that BMW had designed it. My thought was what is comfortable in a sports car is not so good on a 13-15 hour flight where you are sitting / lying down for nearly all the time. However with cushions it can be made more comfortable. Nothing can be done to make the seat wider and the high and very wide plastic infill between my seat and the window made me feel more cramped. I could see no useful purpose for it. The lack of storage space was a problem. I didn't want to put my carry on bag in the overhead lockers as it could be difficult / noisy to access it on a night flight. Unlike some other planes there was no small recess area where I could put my bag on the floor, but within my seating area, so the aisle was still clear. A stewardess put it on the floor but when the bed was out I couldn't access it without grovelling about on the floor. I made my bed up and tried to sleep. I placed my handbag on top of the large but fairly useless plastic infill, during the flight I think as a result of turbulence the bag fell on my head. I wasn't impressed at the time but later on I did see the funny side of it. As the seat / bed was narrow when I turned over I kept hitting my head. It was also quite difficult to get up from. I've had no such difficulties on other business class flights . The design, space and attractiveness is so much better on other Singapore Airlines business class cabins. I know the other passengers in my group flying in business on this flight were unhappy too. While I was queuing to leave the plane at the end of the flight a man of average height and regular weight said That thing is a waste of space refering to the plastic infill between the seat and the window. I had to agree. A senior stewardess told me the airline is planning to convert more of their planes to this design. Thanks for the warning. When I fly to Australia next year I will have to look for a new provider. I cant take the risk of paying for a business class fare and being placed on the A 380-800 again."
2019-03-15,1,1,"""very bad cabin experience""",✅ Trip Verified | Singapore to Manila. Overall a very bad cabin experience. 24 Feb 2019 - SQ917 KrisWorld down for the entire cabin. 26 Feb 2019 - SQ916 KrisWorld still down. reflected that I had feedback a couple of days ago on the return leg from Manila. 28 Feb 2019 - SQ917 KrisWorld still down. Steward was very impatient to the passenger in front of me when asked about the status. Disappointed that my feedback in the last few flights on the same journey wasn't considered at all. 03 Mar 2019 - SQ5254 Preferred meal was forgotten. I had listed a preferred meal in my preference. 10 Mar 2019 - SQ957 Lead steward conveniently forgot about my request. In the end I did not get any meals on board.
2019-03-15,8,8,"""It's amazing how good you can sleep""",Not Verified | Tokyo to Singapore. The Business seats of Singapore Airlines are as big as a first class one. They turn into beds. It's amazing how good you can sleep on these seats. I fell asleep right after take of and woke up for breakfast. Food is really good. Entertainment is good but not amazing.
2019-03-13,10,10,"""A great flight""","✅ Trip Verified | London to Singapore. Singapore Airlines 'Book The Cook' service in business class is excellent and I wish all airlines offered pre-booking for main meals. My Lobster Thermidor was delicious, the cheese board was well presented and the apricot and pumpkin puree with the scallops was divine. Their cabin crew are welcoming and friendly, well trained, attentive and very efficient. All with a quiet charm as they glide through the cabin. A great flight and I managed at least 6 hours of shut-eye before landing."
2019-03-11,3,3,"""poor special meal""","✅ Trip Verified | Perth to Singapore. Dirty tray table, bad cabin crew, poor special meal. During the day flight the window shades on empty seats were up and cabin crew were not bothered to pull them down and a couple of passengers went to do it themselves in front of the cabin crew who just started blankly and didn't do anything about the remaining blinds that were up. On the way to Perth from Singapore I was given the dessert despite being on the special meal but on the return flight, the steward proceeded to pass it to me but then retracted his arm back when he saw I was on the special meal, and no explanation was given. It was not any vegetarian meal as well but why is there no consistency? Worst thing was there was no explanation and he just walked away."
2019-03-11,8,8,"""my experience was mixed""","✅ Trip Verified | Dubai to Manila via Singapore. First time to fly with SQ. I have very high expectations based on reviews and awards. However, my experience was mixed. Food and IFE were great and amazing. Cabin crew always smiling although it sometimes felt mechanical. Simple kit was also provided. DXB-SIN, B777-300ER was great however SIN-MNL aircraft was old didnt even bother using the IFE. Food served was not clearly advised that one option was spicy. I liked the food however overheard another passenger who doesn't like spicy food said that she wished she was told that it was spicy. Had some interesting encounters with cabin crew. First, a cabin crew used his index finger to give instructions to me instead of open palm/hand. Another cabin crew, during beverage serving, gave me the remaining orange juice as if i have no choice to make. Although both were minor hiccups. One funny incident had me cheering silently for the cabin crew as one of the adult passenger (father of another young adult passenger) kept on answering from the opposite row on behalf of his son every time a cabin crew would ask his son thus making a bit of a minor noise/disturbance. Cabin crew reminded the adult passenger that his son is old enough to answer simple questions. Fierce, i liked it. That's why im raising my overall experience score to 8 because of that."
2019-03-10,2,2,"""not rate my journey a pleasant one""","✅ Trip Verified | This was my 5th experience with Singapore Airlines but very different than the other 4. We had our Mumbai to Singapore flight delayed by 5-6 hours and eventually the 2nd flight from Singapore to Melbourne too got delayed however by 8-9 hours. We were made to stay in Ramada Singapore where the lunch was not made available to us, dinner too was compromised. We had a terrible stay and food in the hotel. Overall, I would not rate my journey a pleasant one."
2019-03-04,10,10,"""by far the best""","Not Verified | This was the first time my wife and I flew Singapore Airlines, what a wonderful experience! From check-in to deplaning everything went smoothly and on time. The cabin crew were superb. The service was attentive, food delicious, the cabin was attractive and very clean, including bathrooms. We flew United from Singapore to San Francisco, after our Singapore vacation, and the flight was no way near as good. Singapore Airlines will start flying direct from Seattle to Singapore non-stop in September 2019 and we definitely will use them when we visit Singapore again. P.S. We flew United on frequent flyer miles to India, and from Singapore to Seattle via San Francisco, Singapore Airlines is by far the best."
2019-03-03,8,8,"""seats are comfortable""","✅ Trip Verified | Older plane and business class seats are 2x2x2, so no wifi on board. However seats are comfortable and have a good recline, which is not bad for the short flight from Singapore to Perth. Meals are fantastic, especially as we booked the cook - the assam fish was one of the best I have ever had. Entertainment selection is decent and inflight shopping selection is wide. Best of all, service is impeccable."
2019-03-03,10,10,"""a fantastic airline""","✅ Trip Verified | Amsterdam to Singapore. Singapore Airlines has the best service. Wide selection of inflight shopping. Food is fantastic. We had satay before our appetizer and it was as close as you can get in a satay stall without charcoal. A good range of new movies with the new month. The best thing about AMS to SG is the skybed, which gave us some decent sleep ahead of arriving in SG. Unfortunately, there was limited stock of sake. I had one and there was none left!! Wifi was good when available - the 30MB gets chewed up very quickly! Nevertheless, this is a fantastic airline and we will definitely fly again as our airline of choice."
2019-03-03,8,8,"""plane now seems a bit tired""","✅ Trip Verified | Flew Singapore Airlines from Singapore to London Heathrow. The cabin crew on this flight worked tirelessly to keep the passengers comfortable. They were smart, professional and extremely personable. I'd have liked it to have been warmer on board, still feeling cold even with a down jacket on. The plane now seems a bit tired with a couple of screens not working and a head rest which wouldn't stay up. I too would like to see considerably less plastic used."
2019-03-02,5,5,"""plastic wasted horrifying""","✅ Trip Verified | Singapore to Hanoi. Although the service was great, I found the amount of plastic wasted horrifying. Everything was wrapped in plastic. There was even a plastic cup to put your water that was contained in a plastic cup. Wouldn't fly with Singapore again."
2019-02-28,9,9,"""couldn't fault the service""","✅ Trip Verified | Singapore Airlines has impressed me on the Singapore-Sydney route for the first time. It is evident that the morning flights are much better than the night time flights. As SQ 211 departed, a great lunch was served followed by multiple drink rounds before a mini pizza prior to landing, which compares well against the red eye SQ221 and 231. The staff were quite courteous with the exception of one cabin crew member, the rest were extremely pleasant. Specially the leading crew in charge was particularly friendly. Flight landed ahead of schedule and all in all, I couldn't fault the service."
2019-02-28,9,9,"""a very high standard throughout""","✅ Trip Verified | London to Singapore. Easy boarding with punctual push back and arrival. Latest seats – I loved the wrap-round screen for the seat, almost like some other airlines first class. The steward had to put my bed down for me and I found it rather hard for sleeping on. IFE was not really 5* standard. Food and service were excellent throughout. Overall, a very high standard throughout."
2019-02-27,3,3,"""you lost a loyal flyer""","✅ Trip Verified | San Francisco to Bangalore via Singapore. I have flown Singapore Airlines from the past 20 years regularly until now, I considered myself to be a loyal customers. They used to care about customers before; apparently, being named the best airline in the world has gone to their head and they think they no longer have to satisfy their customers. I flew Premium economy recently to Bangalore and paid for the extra legroom seat--the flight was ordinary. I was expecting an offer to upgrade to business class before my flight and I have more than 50,000 pts. No such offer came--I tried to offer a bid, the system didn't allow me to. When I saw the flight, there were plenty of seats empty in Business class. Not sure why they don't want to offer the premium economy passengers to upgrade to business. Warning to everyone travelling from SFO--some connections to India have a very short layover--less than an hour. SA doesn't have any consideration that if the landing is a few minutes late and the connecting flight is within 30 minutes, they shouldn't make the passenger run from one terminal to another even using Skytrain. I barely made it before the gate closed (with my bad knees). Remember, you have to go through security in Singapore when you have a connecting flight. I had to rush from Terminal B to C with no time even to rush to the restroom let alone freshen up.  While returning from Bangalore, I had ~4 kgs extra. Instead of asking me to pay using my Krisflyer (over 50,000) points, Singapore airlines charged me for a whole extra piece. So watch out, even if you are just 2-4 kgs over the limit in Premium economy, they will charge the cost of a suitcase. I even asked to pay for the upgrade in Bangalore, the said I can't do it in the last minute using points and I should check during my layover in Singapore (~ 2 hours). When I tried to upgrade for the longer flight SIN - SFO, they said that I don't have enough points. I offered to pay with points and cash--they said I can't do that. They just didn't want me in Business class even with points or cash! I wanted to avoid paying extra weight fees as I would have below the limit int Business class. If this is not an example of not caring for customers or accommodating its Krisflyer members, I don't know what is. Why can't they charge per Kg extra weight instead of an additional piece of luggage like other airlines?   Flight and food was ordinary (food quality has declined from SF to Singapore), and the bathroom cleanliness both ways was not up to par like it used to be. Changi airport is exceptional of course. I am not sure I will  be flying this airline again while there are so many carriers who offer upgrades for a reasonable price and cheaper tickets. Not sure what to do with the balance points (more than 50,000 points) though. Sorry Singapore airlines, you lost a loyal flyer who has flow the long route for more than 20 years.."
2019-02-27,10,10,"""a pleasant experience""","✅ Trip Verified | Singapore to Tokyo. The flight was fully packed, but we still manage to fly on time and reach there slightly earlier than scheduled. I flew with friends and took a row of seat. We accidentally spilled a drink, and the stewardess was smiling as they help us clean the mess, they also keep coming back to us to check if our seats are dry, giving us extra napkins and later, extra blankets telling us to sit on it. What a pleasant experience. In flight entertainment was great, plenty of choices, and movies from all over the world. One thing though, we found the leg space to be slightly smaller than usual, not sure if it was all the winter clothing we had with us, or the seat space shrunk. We chose different meals, and tried each others', they taste great."
2019-02-26,3,3,"""performed poor sloppy service""",✅ Trip Verified | Bangkok to Dusseldorf via Singapore. During meal service SQ flight BKK- SIN and SIN-DUS I requested hot tea with lemon and coke. Flight attendant did not pay attention then gave me a salad sauce instead of coke and tea lemon. I was hocked and repeated my request for hot tea with lemon and coke. Flight attendant politely smiled and skipped my request. Dinner meal was without any dessert on international flight SIN-DUS. I was surprised there is no dessert. I asked crew and they said no dessert and no fruits. During snack service they offered only mini potato chips and mini ice cream. There is poor meal quality on international flights and Singapore Airlines crew members were not attentive just poor attention and performed poor sloppy service. Poor WIFI connection. Awful! Bad experience.
2019-02-26,1,1,"""had to sit rows apart""","✅ Trip Verified | Los Angeles to Singapore. We booked a flight to SIN on Singapore Airlines in economy class from LAX for 11/2018. A few days before we departed, we received an email from them encouraging us to bid on an upgrade to economy plus. Even indicated what was a “low” bid with less chance of getting the upgrade, so we paid a higher bid that gave us a “fair” chance. Shortly before our flight we received an email that we were approved and could book our seats. We immediately went to the seat selections and found only 4 seats available, none together or even close. We called Singapore Airlines but they said there was nothing available and our prior seats in economy were now taken. We again asked at the counter when we checked in but same answer - no seats available. We are in our 70’s and had to sit rows apart on different sides of the aircraft for this very long flight. One of the seats was in the last row of economy plus and was so cramped it was very difficult to get in and out to use the restroom. We suffered. When we returned home, we found out Singapore Airlines would not even give miles for the flight since it was initially booked in economy. We requested our money back as we felt taken and deceived with the charge, lack of disclosure, and the unacceptable and poor quality service provided. They said “no”, terms and conditions protect them. Beware of Singapore Airlines offers as they may not be what you expect, especially for an airline that touts their reputation. We were extremely disappointed in their offer, service, and response! First and last time we will fly with them."
2019-02-25,9,9,"""seats very well-designed""","✅ Trip Verified | Flew Singapore Airlines on their Boeing 787-10 from Singapore to Nagoya. Check-in was efficient, and at boarding the crew was very warm and friendly, greeting everyone with a smile. The aircraft was very comfortable, the seats were very well-designed and the cabin also felt very comfortable. IFE was SQ's newest product and I had no problems using it, it was very responsive and being a touchscreen, was also very convenient. The aircraft left on time and we were in the air very quickly. Cabin service was conducted very efficiently, and the crew was also very warm and sincere, typical of SQ's high standards, After the first cabin service(mostly drinks), the lights were dimmed so that the passengers could sleep(it was a red-eye flight) and the crew was very attentive to the passengers' requests, walking up and down the aisle every now and then to ensure we were comfortable. Around 2 hours before landing, breakfast was served - the only negative thing about this flight, as the food was not really good in my opinion. On landing, the crew bade goodbye to each passenger, smiling as they always did throughout the flight, Overall, it was an excellent flight, and I would definitely fly them again"
2019-02-25,10,10,""" one of the best out there""","✅ Trip Verified | Flew Singapore Airlines on my trip back from Japan on their A350-900, and the experience was really positive. In Tokyo Haneda, check in was very efficient, despite it being a full flight (perhaps as many wanted to return home for Christmas), and boarding was very fast too, although the managing could have been better as I witnessed some passengers holding only an economy class ticket using the business class queue. Despite the inclement weather, the flight took off very quickly, and after we left Tokyo the flight was smooth throughout. Aircraft wise, the A350 had always been a comfortable aircraft, and this was no exception - the product offered was very comfortable, and the legroom was good even in economy class. The cabin crew was also very warm and friendly and attentive to every passenger. After meal service was concluded the lights were dimmed to allow the passengers to sleep, as it was a night flight. The IFE was touchscreen, just like my previous flight with SQ on their 787 and very responsive, no problems encountered. The only downside was that SQ did not implement a tail camera that can be broadcast on the IFE - a pity, considering that the A350 has the technology and other A350 users such as Cathay Pacific and Thai Airways are using them. Not an important feature, but it would have been really cool to see it. I picked the Japanese selection for my meal, and it was very good. We arrived in Singapore early and the crew was also very friendly throughout. During the flight, they even left me a personalized message on my passenger flight logbook, and it was a really touching gesture that showed how much they cared for their passengers. Overall, I would recommend SQ, although the prices might sometimes be a little higher, it is worth as you are paying for what you get, and SQ is definitely one of the best out there when it comes to cabin service, matching ANA, who are known for their exceptional cabin service."
2019-02-25,8,8,"""a good economy experience""","✅ Trip Verified | Singapore to Denpasar Bali. Early morning departure from SIN at Chinese New Year, so it was a pretty full flight. Just after security check and with less than one hour to departure, we were told that there was a technical problem with the plane and we needed to switch plane (different gate). Amazingly, the entire flight was only delayed by 1 hour, which given the short notice, I feel is pretty amazing. Flight was on A330, which has the 2-4-2 configuration, and as usual, I opted for the (2) seat which I increasingly like. Seats were slightly narrower than the B777, but it just feels less cramped than the 3 seat options. Flight crew were slightly less charming than usual, but I guess the last minute change probably had something to do with this, and they still dealt very politely with some very demanding customers. Food was reasonably good (had Indonesian option), and IFE was as standard on the A330, if slightly dated. Only slight downside was the toilet, which although clean, had obviously seen better days with some wear and tear. So a good economy experience and I guess the additional cost for the flight (as opposed to the budget airline) pays off when something does wrong, as the recovery was really fast."
2019-02-25,9,9,"""a very comfortable flight""","✅ Trip Verified | Service is unparalleled. Food is very good and served on proper plates with real cutlery. Wide selection of online shopping. Best thing about this flight was the sky bed. The chair unfolds into a flat bed, which gave my son and I some decent sleep. The plane leaves SG just before midnight and arrives in AMS around 6.15am - so even a 12 hour flight seems like no time is wasted. Wifi is available on board but requires payment. The complimentary allowance for business class members is only suited for text messages - runs out fast. Overall, a very comfortable flight. Will definitely fly again."
2019-02-23,9,9,"""food was satisfying""","✅ Trip Verified | Singapore to New York. The entertainment center/movies were superb, although some of the plug connections were older, so the voice is low. One time, the flight was making a loud bothering noise, and we were concerned about it especially during take off. The next flight was delayed, they decided to replace the airplane. I appreciate it that they put safety before anything else. The food was satisfying. The attendants smile. They worked fast in getting what the customers need. They are always ready to answer calls."
2019-02-22,9,9,"""my seat could not lie flat""","✅ Trip Verified | Perth to Singapore. Outstanding service. In flight shopping has a huge selection of quality products. Book the cook menu was impressive - lobster thermidor and my son's steak were cooked to perfection. The selection of beverages was fantastic. Entertainment selection is not bad. This is an older plane, so unfortunately my seat could not lie flat and my son's screen was slightly damaged. Nevertheless, seats are still comfortable for the short flight from Perth to Singapore."
2019-02-17,9,9,"""great cabin crew and great food""",✅ Trip Verified | Singapore to Milan with Singapore Airlines. A generally excellent airline with great cabin crew and great food. The seat was very comfortable for my 12hr and 30min flight and it really changed the way I feel of flying!
